Date,SKU,Region,Units Sold
2026-08-03,SKU001,central,8
2026-08-03,SKU002,central,5
2026-08-03,SKU003,Central,21
2026-08-03,SKU004,central,-4
2026-08-03,SKU005,Central,10
2026-08-03,SKU006,central,9
2026-08-03,SKU007,central,32
2026-08-03,SKU008,Central,3
2026-08-04,SKU001,central,14
2026-08-04,SKU002,central,5
2026-08-04,SKU003,Central,27
2026-08-04,SKU004,Central,4
2026-08-04,SKU005,Central,14
2026-08-04,SKU006,Central,7
2026-08-04,SKU007,Central,29
2026-08-04,SKU008,Central,6
2026-08-05,SKU001,Central,11
2026-08-05,SKU002,Central,9
2026-08-05,SKU003,central,24
2026-08-05,SKU004,Central,3
2026-08-05,SKU005,Central,11
2026-08-05,SKU006,Central,6
2026-08-05,SKU007,Central,21
2026-08-05,SKU008,central,4
2026-08-06,SKU001,central,18
2026-08-06,SKU002,Central,8
2026-08-06,SKU003,central,20
2026-08-06,SKU004,Central,3
2026-08-06,SKU005,central,9
2026-08-06,SKU006,central,8
2026-08-06,SKU007,Central,36
2026-08-06,SKU008,Central,7
2026-08-07,SKU001,central,12
2026-08-07,SKU002,Central,9
2026-08-07,SKU003,central,19
2026-08-07,SKU004,Central,7
2026-08-07,SKU005,central,17
2026-08-07,SKU006,central,13
2026-08-07,SKU007,central,34
2026-08-07,SKU008,central,6
2026-08-08,SKU001,Central,9
2026-08-08,SKU002,Central,10
2026-08-08,SKU003,central,16
2026-08-08,SKU004,Central,3
2026-08-08,SKU005,Central,10
2026-08-08,SKU006,Central,6
2026-08-08,SKU007,central,29
2026-08-08,SKU008,central,6
2026-08-09,SKU001,central,12
2026-08-09,SKU002,central,12
2026-08-09,SKU003,central,17
2026-08-09,SKU004,central,7
2026-08-09,SKU005,central,17
2026-08-09,SKU006,Central,9
2026-08-09,SKU007,Central,24
2026-08-09,SKU008,Central,9
2026-08-10,SKU001,Central,10
2026-08-10,SKU002,Central,5
2026-08-10,SKU003,Central,18
2026-08-10,SKU004,central,7
2026-08-10,SKU005,central,10
2026-08-10,SKU006,central,10
2026-08-10,SKU007,central,37
2026-08-10,SKU008,Central,9
2026-08-11,SKU001,central,15
2026-08-11,SKU002,Central,14
2026-08-11,SKU003,Central,21
2026-08-11,SKU004,Central,5
2026-08-11,SKU005,central,7
2026-08-11,SKU006,central,10
2026-08-11,SKU007,central,33
2026-08-11,SKU008,central,6
2026-08-12,SKU001,Central,12
2026-08-12,SKU002,Central,10
2026-08-12,SKU003,Central,24
2026-08-12,SKU004,Central,5
2026-08-12,SKU005,central,13
2026-08-12,SKU006,central,8
2026-08-12,SKU007,Central,7
2026-08-12,SKU008,Central,5
2026-08-13,SKU001,Central,16
2026-08-13,SKU002,Central,11
2026-08-13,SKU003,central,7
2026-08-13,SKU004,central,5
2026-08-13,SKU005,Central,14
2026-08-13,SKU006,Central,7
2026-08-13,SKU007,Central,32
2026-08-13,SKU008,Central,5
2026-08-14,SKU001,central,12
2026-08-14,SKU002,central,8
2026-08-14,SKU003,central,13
2026-08-14,SKU004,Central,5
2026-08-14,SKU005,Central,14
2026-08-14,SKU006,Central,10
2026-08-14,SKU007,Central,21
2026-08-14,SKU008,Central,7
2026-08-15,SKU001,Central,12
2026-08-15,SKU002,Central,8
2026-08-15,SKU003,Central,20
2026-08-15,SKU004,central,2
2026-08-15,SKU005,Central,22
2026-08-15,SKU006,central,13
2026-08-15,SKU007,Central,21
2026-08-15,SKU008,Central,2
2026-08-16,SKU001,central,11
2026-08-16,SKU002,central,10
2026-08-16,SKU003,central,3
2026-08-16,SKU004,Central,8
2026-08-16,SKU005,Central,11
2026-08-16,SKU006,central,8
2026-08-16,SKU007,central,20
2026-08-16,SKU008,Central,7
