Weekly Planner Export
Generated: 2026-08-17 by E. Ramirez
SKU,Region,Date,Units Sold
SKU001,East,2026-08-03,9
SKU002,East,2026-08-03,10
SKU003,East,2026-08-03,21
SKU004,East,2026-08-03,5
SKU005,East,2026-08-03,21
SKU006,East,2026-08-03,8
SKU007,East,2026-08-03,8
SKU008,East,2026-08-03,5
SKU001,East,2026-08-04,5
SKU002,East,2026-08-04,10
SKU003,East,2026-08-04,22
SKU004,East,2026-08-04,4
SKU005,East,2026-08-04,15
SKU006,East,2026-08-04,11
SKU007,East,2026-08-04,26
SKU008,East,2026-08-04,8
SKU001,East,2026-08-05,12
SKU002,East,2026-08-05,10
SKU003,East,2026-08-05,29
SKU004,East,2026-08-05,7
SKU005,East,2026-08-05,12
SKU006,East,2026-08-05,11
SKU007,East,2026-08-05,11
SKU008,East,2026-08-05,4
SKU001,East,2026-08-06,5
SKU002,East,2026-08-06,11
SKU003,East,2026-08-06,13
SKU004,East,2026-08-06,5
SKU005,East,2026-08-06,14
SKU006,East,2026-08-06,9
SKU007,East,2026-08-06,21
SKU008,East,2026-08-06,6
SKU001,East,2026-08-07,18
SKU002,East,2026-08-07,8
SKU003,East,2026-08-07,23
SKU004,East,2026-08-07,7
SKU005,East,2026-08-07,14
SKU006,East,2026-08-07,6
SKU007,East,2026-08-07,21
SKU008,East,2026-08-07,8
SKU001,East,2026-08-08,6
SKU002,East,2026-08-08,7
SKU003,East,2026-08-08,26
SKU004,East,2026-08-08,6
SKU005,East,2026-08-08,15
SKU006,East,2026-08-08,11
SKU007,East,2026-08-08,26
SKU008,East,2026-08-08,4
SKU001,East,2026-08-09,6
SKU002,East,2026-08-09,6
SKU003,East,2026-08-09,26
SKU004,East,2026-08-09,4
SKU005,East,2026-08-09,11
SKU006,East,2026-08-09,7
SKU007,East,2026-08-09,14
SKU008,East,2026-08-09,6
SKU001,East,2026-08-10,8
SKU002,East,2026-08-10,9
SKU003,East,2026-08-10,6
SKU004,East,2026-08-10,5
SKU005,East,2026-08-10,12
SKU006,East,2026-08-10,4
SKU007,East,2026-08-10,30
SKU008,East,2026-08-10,6
SKU001,East,2026-08-11,4
SKU002,East,2026-08-11,6
SKU003,East,2026-08-11,22
SKU004,East,2026-08-11,4
SKU005,East,2026-08-11,19
SKU006,East,2026-08-11,11
SKU007,East,2026-08-11,30
SKU008,East,2026-08-11,7
SKU001,East,2026-08-12,17
SKU002,East,2026-08-12,10
SKU003,East,2026-08-12,23
SKU004,East,2026-08-12,2
SKU005,East,2026-08-12,19
SKU006,East,2026-08-12,13
SKU007,East,2026-08-12,23
SKU008,East,2026-08-12,5
SKU001,East,2026-08-13,19
SKU002,East,2026-08-13,4
SKU003,East,2026-08-13,23
SKU004,East,2026-08-13,9
SKU005,East,2026-08-13,11
SKU006,East,2026-08-13,11
SKU007,East,2026-08-13,39
SKU008,East,2026-08-13,6
SKU001,East,2026-08-14,14
SKU002,East,2026-08-14,10
SKU003,East,2026-08-14,15
SKU004,East,2026-08-14,5
SKU005,East,2026-08-14,16
SKU006,East,2026-08-14,11
SKU007,East,2026-08-14,25
SKU008,East,2026-08-14,6
SKU001,East,2026-08-15,8
SKU002,East,2026-08-15,7
SKU003,East,2026-08-15,25
SKU004,East,2026-08-15,5
SKU005,East,2026-08-15,11
SKU006,East,2026-08-15,7
SKU007,East,2026-08-15,45
SKU008,East,2026-08-15,8
SKU001,East,2026-08-16,14
SKU002,East,2026-08-16,2
SKU003,East,2026-08-16,24
SKU004,East,2026-08-16,6
SKU005,East,2026-08-16,23
SKU006,East,2026-08-16,10
SKU007,East,2026-08-16,24
SKU008,East,2026-08-16,7
SKU003,East,2026-08-04,22
