 SKU ,region , Date,Units_Sold
SKU001,South,08/03/2026,7
SKU002,South,08/03/2026,8
SKU003,South,08/03/2026,19
SKU004,South,08/03/2026,5
SKU005,South,08/03/2026,21
SKU006,South,08/03/2026,6
SKU007,South,08/03/2026,34
SKU008,South,08/03/2026,4
SKU001,South,08/04/2026,9
SKU002,South,08/04/2026,10
SKU003,South,08/04/2026,27
SKU004,South,08/04/2026,6
SKU005,South,08/04/2026,17
SKU006,South,08/04/2026,9
SKU007,South,08/04/2026,26
SKU008,South,08/04/2026,7
SKU001,South,08/05/2026,11
SKU002,South,08/05/2026,9
SKU003,South,08/05/2026,23
SKU004,South,08/05/2026,5
SKU005,South,08/05/2026,18
SKU006,South,08/05/2026,11
SKU007,South,08/05/2026,40
SKU008,South,08/05/2026,7
SKU001,South,08/06/2026,10
SKU002,South,08/06/2026,7
SKU003,South,08/06/2026,20
SKU004,South,08/06/2026,6
SKU005,South,08/06/2026,13
SKU006,South,08/06/2026,10
SKU007,South,08/06/2026,39
SKU008,South,08/06/2026,1
SKU001,South,08/07/2026,8
SKU002,South,08/07/2026,9
SKU003,South,08/07/2026,22
SKU004,South,08/07/2026,5
SKU005,South,08/07/2026,13
SKU006,South,08/07/2026,11
SKU007,South,08/07/2026,27
SKU008,South,08/07/2026,5
SKU001,South,08/08/2026,21
SKU002,South,08/08/2026,9
SKU003,South,08/08/2026,17
SKU004,South,08/08/2026,5
SKU005,South,08/08/2026,14
SKU006,South,08/08/2026,9
SKU007,South,08/08/2026,5
SKU008,South,08/08/2026,5
SKU001,South,08/09/2026,16
SKU002,South,08/09/2026,5
SKU003,South,08/09/2026,20
SKU004,South,08/09/2026,6
SKU005,South,08/09/2026,19
SKU006,South,08/09/2026,13
SKU007,South,08/09/2026,12
SKU008,South,08/09/2026,5
SKU001,South,08/10/2026,11
SKU002,South,08/10/2026,9
SKU003,South,08/10/2026,27
SKU004,South,08/10/2026,1
SKU005,South,08/10/2026,20
SKU006,South,08/10/2026,5
SKU007,South,08/10/2026,30
SKU008,South,08/10/2026,3
SKU001,South,08/11/2026,13
SKU002,South,08/11/2026,11
SKU003,South,08/11/2026,19
SKU004,South,08/11/2026,5
SKU005,South,08/11/2026,19
SKU006,South,08/11/2026,9
SKU007,South,08/11/2026,24
SKU008,South,08/11/2026,9
SKU001,South,08/12/2026,16
SKU002,South,08/12/2026,7
SKU003,South,08/12/2026,36
SKU004,South,08/12/2026,3
SKU005,South,08/12/2026,19
SKU006,South,08/12/2026,8
SKU007,South,08/12/2026,26
SKU008,South,08/12/2026,7
SKU001,South,08/13/2026,13
SKU002,South,08/13/2026,10
SKU003,South,08/13/2026,11
SKU004,South,08/13/2026,3
SKU005,South,08/13/2026,18
SKU006,South,08/13/2026,6
SKU007,South,08/13/2026,17
SKU008,South,08/13/2026,3
SKU001,South,08/14/2026,17
SKU002,South,08/14/2026,10
SKU003,South,08/14/2026,29
SKU004,South,08/14/2026,4
SKU005,South,08/14/2026,15
SKU006,South,08/14/2026,6
SKU007,South,08/14/2026,31
SKU008,South,08/14/2026,9
SKU001,South,08/15/2026,9
SKU002,South,08/15/2026,12
SKU003,South,08/15/2026,26
SKU004,South,08/15/2026,5
SKU005,South,08/15/2026,6
SKU006,South,08/15/2026,13
SKU007,South,08/15/2026,24
SKU008,South,08/15/2026,5
SKU001,South,08/16/2026,13
SKU002,South,08/16/2026,9
SKU003,South,08/16/2026,29
SKU004,South,08/16/2026,3
SKU005,South,08/16/2026,20
SKU006,South,08/16/2026,13
SKU007,South,08/16/2026,36
SKU008,South,08/16/2026,6
