SKU,Region,Date,Units Sold,Source File
SKU001,Central,2026-08-03,8,planner_export_central_week32.csv
SKU002,Central,2026-08-03,5,planner_export_central_week32.csv
SKU003,Central,2026-08-03,21,planner_export_central_week32.csv
SKU005,Central,2026-08-03,10,planner_export_central_week32.csv
SKU006,Central,2026-08-03,9,planner_export_central_week32.csv
SKU007,Central,2026-08-03,32,planner_export_central_week32.csv
SKU008,Central,2026-08-03,3,planner_export_central_week32.csv
SKU001,East,2026-08-03,9,planner_export_east_week32.csv
SKU002,East,2026-08-03,10,planner_export_east_week32.csv
SKU003,East,2026-08-03,21,planner_export_east_week32.csv
SKU004,East,2026-08-03,5,planner_export_east_week32.csv
SKU005,East,2026-08-03,21,planner_export_east_week32.csv
SKU006,East,2026-08-03,8,planner_export_east_week32.csv
SKU007,East,2026-08-03,8,planner_export_east_week32.csv
SKU008,East,2026-08-03,5,planner_export_east_week32.csv
SKU001,North,2026-08-03,11,planner_export_north_week32.xlsx
SKU002,North,2026-08-03,9,planner_export_north_week32.xlsx
SKU003,North,2026-08-03,19,planner_export_north_week32.xlsx
SKU004,North,2026-08-03,5,planner_export_north_week32.xlsx
SKU005,North,2026-08-03,11,planner_export_north_week32.xlsx
SKU006,North,2026-08-03,8,planner_export_north_week32.xlsx
SKU007,North,2026-08-03,33,planner_export_north_week32.xlsx
SKU008,North,2026-08-03,7,planner_export_north_week32.xlsx
SKU001,South,2026-08-03,7,planner_export_south_week32.csv
SKU002,South,2026-08-03,8,planner_export_south_week32.csv
SKU003,South,2026-08-03,19,planner_export_south_week32.csv
SKU004,South,2026-08-03,5,planner_export_south_week32.csv
SKU005,South,2026-08-03,21,planner_export_south_week32.csv
SKU006,South,2026-08-03,6,planner_export_south_week32.csv
SKU007,South,2026-08-03,34,planner_export_south_week32.csv
SKU008,South,2026-08-03,4,planner_export_south_week32.csv
SKU001,West,2026-08-03,5,planner_export_west_week32.xlsx
SKU002,West,2026-08-03,10,planner_export_west_week32.xlsx
SKU003,West,2026-08-03,22,planner_export_west_week32.xlsx
SKU004,West,2026-08-03,4,planner_export_west_week32.xlsx
SKU005,West,2026-08-03,21,planner_export_west_week32.xlsx
